"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
16,100,100,200,1,1.27927
25,100,100,200,1,2.12717
36,100,100,200,1,3.71426
49,100,100,200,1,5.67233
64,100,100,200,1,7.3838
81,100,100,200,1,11.0306
100,100,100,200,1,13.3305
124,100,100,200,1,13.9516
4,200,200,200,1,0.598515
9,200,200,200,1,0.856623
16,200,200,200,1,1.73148
25,200,200,200,1,2.21073
36,200,200,200,1,4.38773
49,200,200,200,1,7.57806
64,200,200,200,1,8.27049
81,200,200,200,1,10.9149
100,200,200,200,1,13.9032
124,200,200,200,1,13.7478
4,400,400,200,1,1.11566
9,400,400,200,1,1.19479
16,400,400,200,1,1.85175
25,400,400,200,1,3.08164
36,400,400,200,1,4.43095
49,400,400,200,1,6.76259
64,400,400,200,1,8.88867
81,400,400,200,1,11.5467
100,400,400,200,1,13.7826
124,400,400,200,1,14.3481
4,100,100,200,1,0.499661
9,100,100,200,1,0.715829
16,100,100,200,1,1.3522
25,100,100,200,1,2.27232
36,100,100,200,1,3.9432
49,100,100,200,1,5.85344
64,100,100,200,1,7.57874
81,100,100,200,1,13.0498
100,100,100,200,1,13.0086
124,100,100,200,1,12.8946
4,200,200,200,1,0.549059
9,200,200,200,1,0.780155
16,200,200,200,1,1.24083
25,200,200,200,1,1.81914
36,200,200,200,1,3.77897
49,200,200,200,1,5.7193
64,200,200,200,1,7.51512
81,200,200,200,1,10.948
100,200,200,200,1,14.3401
124,200,200,200,1,13.4276
4,400,400,200,1,1.04007
9,400,400,200,1,1.15428
16,400,400,200,1,1.31158
25,400,400,200,1,2.01762
36,400,400,200,1,3.61948
49,400,400,200,1,5.47816
64,400,400,200,1,8.06401
81,400,400,200,1,41.017
100,400,400,200,1,13.2381
124,400,400,200,1,14.1415
4,100,100,200,1,0.562441
9,100,100,200,1,0.841688
16,100,100,200,1,1.28829
25,100,100,200,1,2.4981
36,100,100,200,1,4.06131
49,100,100,200,1,6.16233
64,100,100,200,1,7.60401
81,100,100,200,1,23.577
100,100,100,200,1,12.8578
124,100,100,200,1,13.0222
4,200,200,200,1,0.61118
9,200,200,200,1,0.899538
16,200,200,200,1,1.81454
25,200,200,200,1,2.11726
36,200,200,200,1,4.08436
49,200,200,200,1,6.77941
64,200,200,200,1,8.25441
81,200,200,200,1,11.1316
100,200,200,200,1,12.9584
124,200,200,200,1,14.3366
4,400,400,200,1,1.13281
9,400,400,200,1,1.18086
16,400,400,200,1,1.5189
25,400,400,200,1,2.60794
36,400,400,200,1,3.8183
49,400,400,200,1,5.98641
64,400,400,200,1,8.68774
81,400,400,200,1,12.435
100,400,400,200,1,13.1284
124,400,400,200,1,15.3172
4,100,100,200,1,0.505828
9,100,100,200,1,0.849968
16,100,100,200,1,1.30259
25,100,100,200,1,2.63279
36,100,100,200,1,4.31218
49,100,100,200,1,6.03726
64,100,100,200,1,7.07283
81,100,100,200,1,10.5701
100,100,100,200,1,17.7436
124,100,100,200,1,13.465
4,200,200,200,1,0.641538
9,200,200,200,1,0.948659
16,200,200,200,1,1.26885
25,200,200,200,1,2.13375
36,200,200,200,1,3.64082
49,200,200,200,1,5.56162
64,200,200,200,1,6.94709
81,200,200,200,1,10.5063
100,200,200,200,1,12.6764
124,200,200,200,1,12.4933
4,400,400,200,1,1.04967
9,400,400,200,1,1.10102
16,400,400,200,1,1.34509
25,400,400,200,1,2.78318
36,400,400,200,1,4.00527
49,400,400,200,1,5.87856
64,400,400,200,1,9.41976
81,400,400,200,1,13.9339
100,400,400,200,1,12.3
124,400,400,200,1,12.62
4,100,100,200,1,0.533
9,100,100,200,1,0.75668
16,100,100,200,1,1.19001
25,100,100,200,1,2.4285
36,100,100,200,1,3.86504
49,100,100,200,1,5.60306
64,100,100,200,1,7.36109
81,100,100,200,1,10.3879
100,100,100,200,1,12.3409
124,100,100,200,1,12.547
4,200,200,200,1,0.607162
9,200,200,200,1,0.786073
16,200,200,200,1,1.22689
25,200,200,200,1,2.03344
36,200,200,200,1,3.64739
49,200,200,200,1,5.38011
64,200,200,200,1,7.06238
81,200,200,200,1,10.3104
100,200,200,200,1,11.7423
124,200,200,200,1,12.6194
4,400,400,200,1,1.14423
9,400,400,200,1,1.51269
16,400,400,200,1,1.40427
25,400,400,200,1,2.27085
36,400,400,200,1,3.58903
49,400,400,200,1,5.54463
64,400,400,200,1,7.69506
81,400,400,200,1,10.8257
100,400,400,200,1,12.4314
124,400,400,200,1,13.1546
4,100,100,200,1,0.485019
9,100,100,200,1,0.727341
16,100,100,200,1,1.32978
25,100,100,200,1,2.33491
36,100,100,200,1,3.82412
49,100,100,200,1,5.72639
64,100,100,200,1,6.9755
81,100,100,200,1,10.3626
100,100,100,200,1,12.3601
124,100,100,200,1,12.4408
4,200,200,200,1,0.601095
9,200,200,200,1,0.849875
16,200,200,200,1,1.24161
25,200,200,200,1,1.94559
36,200,200,200,1,3.60634
49,200,200,200,1,5.54601
64,200,200,200,1,7.12676
81,200,200,200,1,9.96066
100,200,200,200,1,12.8801
124,200,200,200,1,12.2936
4,400,400,200,1,1.08236
